City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
278,Tres Arroyos,-38.3739,-60.2798,52.39,72,85,4.61,AR,overcast clouds
279,Westport,41.1415,-73.3579,43.75,93,47,3.0,US,scattered clouds
280,Asfi,32.2994,-9.2372,66.9,57,100,12.35,MA,overcast clouds
281,Nuevo Progreso,23.1667,-97.95,76.89,71,62,1.01,MX,broken clouds
282,Saint George,37.1041,-113.5841,61.39,36,0,1.01,US,clear sky
283,Fukue,32.6881,128.8419,64.76,63,40,3.44,JP,scattered clouds
284,Tarakan,3.3,117.6333,83.52,72,23,10.25,ID,few clouds
285,Ornskoldsvik,63.2909,18.7153,45.55,76,42,9.22,SE,scattered clouds
286,Parana,-31.732,-60.5238,58.55,97,8,3.11,AR,clear sky
287,Sao Filipe,14.8961,-24.4956,69.87,80,57,5.32,CV,broken clouds
288,Hermiston,45.8404,-119.2895,40.64,78,0,9.22,US,clear sky
289,Porto Walter,-8.2686,-72.7439,69.33,95,0,1.07,BR,clear sky
290,Jumla,29.2747,82.1838,71.62,20,39,9.19,NP,scattered clouds
291,Pevek,69.7008,170.3133,-1.23,98,84,3.78,RU,broken clouds
292,Eyl,7.9803,49.8164,90.36,55,35,12.06,SO,scattered clouds
293,Mollendo,-17.0231,-72.0147,65.3,85,100,8.08,PE,overcast clouds
294,Gazanjyk,39.2446,55.5154,57.36,65,100,5.08,TM,overcast clouds
295,Ca Mau,9.1769,105.15,91.2,48,94,9.95,VN,overcast clouds
296,Biloela,-24.4167,150.5,72.19,54,2,13.44,AU,clear sky
297,Khasan,42.4308,130.6434,50.99,45,86,14.45,RU,overcast clouds
298,Kahului,20.8947,-156.47,75.85,78,33,4.0,US,scattered clouds
299,Trairi,-3.2778,-39.2689,74.88,93,90,3.58,BR,overcast clouds
300,Aleksandrov Gay,50.147,48.5704,63.88,47,100,10.76,RU,overcast clouds
301,Jiuquan,39.7432,98.5174,57.18,16,1,10.67,CN,clear sky
302,Vila Velha,-20.3297,-40.2925,71.55,75,0,5.99,BR,clear sky
303,San Luis,-33.295,-66.3356,56.08,47,2,7.99,AR,clear sky
304,Wad Rawah,15.1603,33.1397,96.37,28,100,14.97,SD,overcast clouds
305,Tudor Vladimirescu,45.5667,27.65,45.27,59,100,20.67,RO,overcast clouds
306,Santarem,-2.4431,-54.7083,75.33,100,75,3.44,BR,broken clouds
307,Santa Ines,-3.6667,-45.38,72.28,99,87,2.37,BR,overcast clouds
308,Ngunguru,-35.6167,174.5,63.19,89,100,28.9,NZ,light rain
309,Cabedelo,-6.9811,-34.8339,77.67,85,98,4.36,BR,overcast clouds
310,Omboue,-1.5746,9.2618,81.36,79,100,4.92,GA,overcast clouds
311,Aloleng,16.1307,119.7824,85.19,65,56,8.39,PH,broken clouds
312,Kikwit,-5.041,18.8162,78.48,77,99,2.51,CD,light rain
313,Manicore,-5.8092,-61.3003,72.16,99,100,0.72,BR,heavy intensity rain
314,Sobolevo,54.4299,31.8996,39.04,50,65,18.81,RU,broken clouds
315,El Puente,13.2833,-87.1167,78.19,73,47,3.04,HN,scattered clouds
316,Cururupu,-1.8283,-44.8683,73.17,98,67,0.16,BR,broken clouds
317,Port Hedland,-20.3167,118.5667,96.85,24,22,17.27,AU,few clouds
318,Sao Joao Batista,-27.2761,-48.8494,64.11,97,0,3.56,BR,clear sky
319,Buraydah,26.326,43.975,81.05,12,0,10.13,SA,clear sky
320,Bograd,54.2344,90.8328,72.75,19,62,9.64,RU,broken clouds
321,Comodoro Rivadavia,-45.8667,-67.5,55.26,58,0,8.05,AR,clear sky
322,Waikuku,-43.3,172.6833,58.01,86,100,13.13,NZ,overcast clouds
323,Todos Santos,23.45,-110.2167,67.55,63,99,4.99,MX,overcast clouds
324,Sakakah,29.9697,40.2064,78.37,12,0,7.72,SA,clear sky
325,Nanortalik,60.1432,-45.2371,29.28,86,100,7.45,GL,overcast clouds
326,Chiang Khong,20.2613,100.4046,95.22,32,85,3.62,TH,overcast clouds
327,Areia Branca,-4.9561,-37.1369,77.31,88,96,6.44,BR,overcast clouds
328,Kot Diji,27.3427,68.7083,100.42,8,6,5.93,PK,clear sky
329,Naze,28.3667,129.4833,68.92,58,59,9.86,JP,broken clouds
330,Deputatskiy,69.3,139.9,14.65,92,100,3.67,RU,overcast clouds
331,Juan Aldama,24.2908,-103.3944,65.14,15,99,6.42,MX,overcast clouds
332,Kruisfontein,-34.0033,24.7314,60.89,63,69,3.85,ZA,broken clouds
333,Klaksvik,62.2266,-6.589,47.32,98,100,15.75,FO,overcast clouds
334,Ancud,-41.8697,-73.8203,48.9,86,50,2.3,CL,scattered clouds
335,Morris,40.8334,-74.5329,42.15,83,0,10.36,US,clear sky
336,Pangody,65.85,74.4859,14.4,79,91,15.35,RU,overcast clouds
337,Mana,5.6592,-53.7767,76.23,88,99,9.69,GF,overcast clouds
338,Mega,4.05,38.3,63.61,78,100,2.42,ET,light rain
339,Safaga,26.7292,33.9365,84.16,33,1,5.03,EG,clear sky
340,Neiafu,-18.65,-173.9833,81.79,76,10,11.92,TO,light rain
341,Entebbe,0.0644,32.4469,77.32,73,40,9.22,UG,scattered clouds
342,Sitka,57.0531,-135.33,36.55,85,100,1.68,US,overcast clouds
343,Ust-Kuyga,70.0167,135.6,18.37,90,99,3.78,RU,overcast clouds
344,Pangai,-19.8,-174.35,81.64,78,62,12.86,TO,broken clouds
